test_class_name,cycle_id,tests,failures,failures_%,time,timestamp,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org/apache/commons/validator/RetrieveFormTest.java,133e5bb1bed1902092fa149d306f486ce1cf269f,5,0,0.0,0.207,1562679130.4785204,1,1,1,1,19,5,7,6,1,0,2,9,9,9,1,9,0,2,1,6,232,62,81,29,53,89,56,67,29,38,2,2,2,1,1,1.1,10,10,10,9
org/apache/commons/validator/EntityImportTest.java,133e5bb1bed1902092fa149d306f486ce1cf269f,2,0,0.0,0.015,1562679130.492584,1,1,1,1,6,0,4,2,1,0,0,3,3,3,0,3,0,0,0,3,51,6,18,11,7,27,10,14,11,3,1,1,1,1,0,1.5,3,3,3,3
org/apache/commons/validator/ValidatorResourcesTest.java,133e5bb1bed1902092fa149d306f486ce1cf269f,1,0,0.0,0.004,1562679130.5049212,1,1,1,1,10,1,5,4,1,0,0,2,2,2,0,2,0,0,0,2,52,8,15,6,5,29,6,10,6,4,2,2,2,1,1,1.93,3,3,3,2
org/apache/commons/validator/FieldTest.java,133e5bb1bed1902092fa149d306f486ce1cf269f,9,0,0.0,0.002,1562679130.516355,1,1,1,1,13,1,8,3,1,0,0,17,17,17,1,17,0,4,0,13,284,54,146,25,107,84,110,128,25,103,1,1,1,1,0,0.58,17,17,17,17
org/apache/commons/validator/EmailTest.java,963e1d4918dd19b18c3449754bc376d0a29ed4e2,10,0,0.0,0.226,1562679149.629282,1,1,1,1,19,2,12,5,1,0,2,15,15,15,1,15,0,1,1,13,428,52,260,102,221,116,159,177,39,138,3,3,3,1,1,0.45,19,19,19,15
org/apache/commons/validator/routines/CalendarValidatorTest.java,7ad5e846cd557c168670354bb9cdfe0120a487f9,10,0,0.0,0.013000000000000001,1562679168.302986,1,1,1,1,29,3,21,9,2,0,2,8,8,8,1,8,0,0,2,6,274,42,180,61,152,100,157,167,61,106,2,2,2,1,1,0.56,10,10,10,8
org/apache/commons/validator/routines/TimeValidatorTest.java,7ad5e846cd557c168670354bb9cdfe0120a487f9,7,0,0.0,0.013000000000000001,1562679168.333633,1,1,1,1,19,1,13,7,1,2,2,12,12,10,7,12,0,0,4,8,341,37,228,67,191,131,149,166,64,102,2,2,2,1,1,0.57,17,17,17,12
org/apache/commons/validator/routines/DateValidatorTest.java,7ad5e846cd557c168670354bb9cdfe0120a487f9,8,0,0.0,0.1,1562679168.3531678,1,1,1,1,33,4,24,16,1,0,0,4,4,4,1,4,0,0,1,3,168,25,105,41,90,88,95,100,41,59,2,2,2,1,0,0.84,5,5,5,4
org/apache/commons/validator/routines/EmailValidatorTest.java,0b3497b7d2dd22f8402bca82dd56b49f0724f367,13,0,0.0,0.02,1562679186.800436,1,1,1,1,18,5,9,5,1,0,3,17,17,17,1,17,0,0,2,15,449,109,247,93,202,125,118,139,30,109,3,3,3,1,2,0.51,20,20,20,17
org/apache/commons/validator/CreditCardValidatorTest.java,5b5f5dd27dc51c6e4405bdb3b26448e9617f4c9c,2,0,0.0,0.013000000000000001,1562679259.4232268,1,1,1,1,10,0,8,2,2,0,7,4,4,4,0,4,0,0,0,4,87,11,45,18,31,33,33,39,18,21,1,1,2,1,0,0.73,4,4,5,4
