"cycle_id","end_to_end[sec]","selection_time[sec]","tests_exec_time[sec]","startup_time[sec]"
"00530c91c80b6b926beb5b6f9c11127403407543",17,7,3.8970000000000002,6.103
"1471bc37d5db8921ba044cc150d49a05890b50e6",7,2,0.079,4.920999999999999
"058b9726a927501f069f2ce0699dda7ab87ddead",6,1,0.276,4.724
"1e2151c26bccea33125da79e7c616c2c55edc855",8,2,0.531,5.468999999999999
"fb78cbb077f6b0b6405ab0c7d74c7c3cce29bf9b",6,1,0.681,4.319
"2697108cc9f1c7b089053143097c9f8843185462",7,2,0.175,4.825
"10d8fc1dad1191f593c79cf6dad79af5cabe3ccf",6,1,0.158,4.8420000000000005
"403a784b81c5fb845aef1b34aefd56d0d3056964",9,1,3.048,4.952
"61dcb07513fbb32c90e5ae90fa376bdf7705e2db",6,2,0.145,3.855
"caa142d0399f10ce3ec6fb843e679e2d8c07c43f",7,2,0.273,4.727
"1fc451c79779bdbf788e8bfbec6dc031a47495d8",8,2,0.22,5.779999999999999
"fe56886f6d4c6f872caa23faa4b94e34b0b221a1",7,2,0.215,4.785
"29220884e616c750cf8bed06ad939d1c366b8c94",6,1,0.024,4.976
"bc1c22bcb690e9a906abc6a42fa258b39edd9449",6,2,0.115,3.885
"c4b947d96eb273089b6753534f673640efa77703",6,1,0.224,4.776
"4bbc660332f3e751ff7e68bdb2756e9d964f4858",7,2,0.23,4.77
"25f149ae9564876c5459dcbb80feb1467a063ab9",6,1,0.172,4.828
"ab27defc0f3a3ac9b797c23bdc32f35052492b1d",6,2,0.158,3.842
"f0ee4661a5e66274eb513902639f0a16edec1b0a",7,2,0.133,4.867
"c3c58f29b440392739dcce3c385048649ae735b1",6,1,0.142,4.8580000000000005
"67c60388b44697df1d86bff42ddfc314d75e86bf",9,2,2.968,4.032
"65d05e0fd832de4fd148ad4668c3a4d110488cb8",6,1,0.01,4.99
"453c56cff0dbbc0ecefaa7f20b8df6d11d6d12ec",9,3,0.8220000000000001,5.178
"90caed967e6d24a4acd8a9f0739b75f6bb2e7b37",7,2,0.33999999999999997,4.66
"7bf19f98e6debf76ace944034f7e5d376d4870fd",7,2,0.013000000000000001,4.987
"d66b439c93f7d370d42b21b0d9b86446919880a8",9,3,0.868,5.132
"759b3707f3f4a1e5eedbce479dccb0ec70237656",12,3,4.027,4.973
"e23e8e1df17a81b42073334a80fb896c67704522",10,4,0.9200000000000002,5.08
"b0083b6f74be80bcf7b8bba77ad1dc56688a152f",12,6,0.999,5.001
"4f7912d16b286daf1e0db27ad23c6b693a2db72f",6,1,0.01,4.99
"5dae4d949e1ce53048fdb817ce6e2a76cb3a25ee",7,1,0.022,5.978
"c5eeceac028ebb4332792f96221058097179d0ca",6,1,0.017,4.9830000000000005
"12359b373d93cbb3cee653447115cd766f0425ba",6,1,0.009000000000000001,4.991
"f282e951f122c9d4a8d65d92cab1949a98da786c",8,3,0.5960000000000001,4.404
"7c622a0022c15d145decebe7bb9a6c8055b4557c",8,2,0.28300000000000003,5.7170000000000005
"8f868d0c53820812f0298e53ee60c0cdddfbf8b2",11,2,3.025,5.975
"9f7dffd9b9addc7999a01ba4378ea347bf6718f1",6,1,0.01,4.99
"5819f2dbf638dd4befb1803e0e99dfe48a84f73d",14,5,3.5130000000000003,5.487
"778eb5418ac6627e67ffd69252d45f8f9fb2284a",7,2,0.8180000000000001,4.182
"622088ba07b5b9452b73e2b2867549540e431732",7,2,0.05,4.95
"0a7bbe29d8ecc70ecb84c7f515ffc2e9394b0a75",19,10,3.915,5.085000000000001
"5cd45cca92b4ba31d55f2e5d28aacf2a5d3fca22",19,10,3.99,5.01
"1ade8d502aacc1ab023cd01e751ace895cd753a1",18,9,3.977,5.023
"9a2c8207033ef96ba390009ac971a0c0bbc797f7",6,2,0.20600000000000002,3.794
"d7b0b793a919c9f58eeaac692194cb62a71b8e18",6,1,0.20700000000000002,4.793
"3f41cf1609fae7c8848beb0655bcf67132c7a277",8,3,0.526,4.474
"e04ddcf7426d617036064e9b99d824eb4201d470",7,2,0.239,4.761
"c683f14ef654ac62480d6f5bce9609106e09d5e2",6,1,0.503,4.497
"85315cdf2f8a97083e891c026876223dd2d301d2",7,2,0.159,4.841
"9efad96e5d9f9b9e02ef0bbd107ecdb0d07299d7",6,2,0.019,3.981
"5536cf67cf7ae3b72d02f6c398f52a47c9578c0b",9,1,3.177,4.823
"3976e6d39ec139267175324f6ebbabb9b2ecb619",7,2,0.493,4.507
"0ce2d936f62bcc4da337b14b350a5f6576c3cc5a",7,2,0.306,4.694
"7fd22ec3420a9d79b6b7dcf9af3ca1d9b0b16478",7,2,0.278,4.7219999999999995
"007d6b8423333630213d3ed1d2813ed22b59473d",6,1,0.211,4.789
"63c51caac73a4e9059750c3146e3b028e44d1bb4",6,1,0.366,4.634
"03d62b63f1d8c6551d59893fd3f5dc1add6d3132",17,7,3.9569999999999994,6.043000000000001
"fbefe56c0a41a1742872c9d0f624e5c32710ab4e",6,2,0.303,3.697
"07cf4e960d36aa15688e6a7989351b294ef749fa",6,1,0.025,4.975
"30773983a39fc48638af556d4edf492642468f28",10,2,2.8609999999999993,5.139000000000001
"188e25d4796370edbf3d07501f4a9676cfa2a5ca",7,2,0.084,4.916
"618ef8f477e2e5f5d85e129133613bfe82423b0c",7,2,0.483,4.5169999999999995
"e4bded91eef4c3b7065d608a70e7a361c36ccb32",14,6,3.835,4.164999999999999
"17c13858e25be3b6a99d8929edb9e1654470af0b",6,1,0.027,4.973
"b66d41a25fe44847c828bfb188d60cba98117568",27,16,4.012,6.9879999999999995
"288e3d9372af54555a152b8dd827ca211015d1d8",8,2,0.8240000000000001,5.176
"fefb442fc8beef6b044768ae4d110b4393521c61",7,2,0.244,4.756
"d2c0d2a2327e9ddf887b119fadbe5a5366f67e36",6,1,0.32999999999999996,4.67
"536ede39c1bd58ae4aa6138103746b94164287ee",8,2,0.284,5.716
"b69a53a56757ef6906a342eb0dfe30cd6400343d",6,1,0.266,4.734
"d9fba481f362f19f3ed0dc0f6e47429ad54fae32",6,1,0.006999999999999999,4.993
"0f2c16e35f19c1de7a1170cef3451bdc1beca3c9",9,2,2.5829999999999997,4.417
"79a585cc2945f4f26f0a2d02bd66f58c2182d369",10,3,2.534,4.466
"f3d0617d2728eeba5a3c6f0d1d8d201168f560d2",7,2,0.003,4.997
"555b2b5788eb8d7a131cb6d02bdf10f4da6355b2",11,4,2.581,4.4190000000000005
"915f6d74a91adff2378765df55c0a1cc70dc7d34",10,2,2.927,5.073
"a2dce9c960f04e62f77e4d086181f557aa72b244",8,3,0.5489999999999999,4.4510000000000005
"4889e27ae37895a859542def1fd5e3f134058017",9,1,2.739,5.261
"0cc4b1777cf14855de2591840ca430e26977bac4",8,2,1.088,4.912
"53db3193cd593e83621da7204477baa9df1f1c57",8,2,1.008,4.992
"09f58fbc8956b05aec9cdc7ce9d153639917f24d",7,2,0.29300000000000004,4.707
"76c125c3b74a390a39cdcd6666cf7e9cea0e5c1d",6,2,0.028,3.972
"36dfa194e6155bbaf8d468403cc3982aceeda3b1",8,2,0.819,5.181
"7ab7ec58f461db059529715392dce4f7ef3bdf93",6,1,0.026000000000000002,4.974
"4541fb80e0558682793a5bd2372a74984d62745f",10,2,2.784,5.216
"48f86f12fbb2f46d359a03439919dc8e1a5bdd48",7,2,0.015000000000000001,4.984999999999999
"aead18acdf24c7619bd2b63a39603b20ccbafba9",6,1,0.045,4.955
"7f7bc85528d7ec75b5c5c49b0bb3f83dc99653d9",10,5,0.533,4.467
"b29483fc494c5b5cbf2c347685af6ab9a233e43f",6,2,0.3,3.7
"17a88b3a7558387d75d27e22771993a45969944f",6,2,0.274,3.726
