"cycle_id","end_to_end[sec]","selection_time[sec]","tests_exec_time[sec]","startup_time[sec]"
"ab0570e63aae3027239dcd5d22caab95111a5de8",25,3,5.62,16.38
"f015fb2b31a5621689a57ce9d2d300e5f32357e1",18,2,0.083,15.917
"0f87dceb80b432b434dbd81ed4f1ab97c740efc1",32,8,7.677,16.323
"c9a5e54a7c0b4c0be46940d136677a2c9f052ed7",30,7,7.339999999999999,15.66
"23c706ff915c4be7d371d3098fc8de2cc3aa2b67",20,4,0.18000000000000002,15.82
"71a1c49eb3610984173728751b1a5e78ddf40c6f",18,2,0.095,15.905
"cf950e7365848130c5c2d57c871652e6f83e96a8",19,3,0.655,15.344999999999999
"b836907ddbc53d8c47d2e2a6a36a690faa2d82e6",34,9,8.556000000000001,16.444
"46c42fcdaa16542b0f167ea429b613fd653e6fc8",20,2,1.254,16.746
"e6b830bf95f712672cb9e77cd852606cd134c5fc",24,4,2.881,17.119
"050b67d4f88d60e03a57fa5cf2177088b8224092",22,3,2.928,16.072
"5df67bf13af9a044f3bf7d8df3bd2daa763843a7",22,3,3.1290000000000004,15.870999999999999
"695342cb1cef42f30fd1a8496f181c92b21ae82d",19,2,0.157,16.843
"b6d35656f4b0dde16c2e6e5a04c1487e244708a8",29,6,7.391,15.609
"09c52410e62b0e1e221d413d7ab18feefcca6bf7",22,6,0.899,15.100999999999999
"429c847b24d2c4adb0b9768d1e38bf05e5bafb7b",29,6,7.397,15.603
"9dcd87f9c46786f3da54af7ac1ba4696840dffa8",22,5,0.9460000000000001,16.054000000000002
"f55530a2ffd3c481f6554d98e9d73f2e8c62ec8d",23,6,0.9760000000000001,16.024
"dfd69e038cc7035031d1807c4ade870d2a7e2ece",23,6,1.6420000000000001,15.358
"7d54a14a75b55568a59760382a0a56e8cd3428f3",18,2,0.904,15.096
"db12f89ad2e153d8494a92ee3a50a23faeb14912",24,6,1.075,16.925
"a49ea7a65b7990b3e6e625bc8bfff7396ee49300",19,3,0.084,15.916
"aa75c23b2e51c8d42730c8b410e6a7148a7bb094",29,11,1.772,16.228
"2d6dea18b08caf615329eef0032f16911c5388d0",25,7,1.082,16.918
"41bc4cd029fc486b5570ec344cdeae049bbca860",18,2,0.07400000000000001,15.926
"51b2cabf2c3737de06fc889b39d40240d1b134c2",19,3,0.12,15.879999999999999
"8a05e0b0f640289c32f2f261f35450532cc2a1aa",18,2,0.087,15.913
"82d76aca8b4d845ed7bc5c74280f089c35447637",29,6,7.265000000000001,15.735
"1b362986bc99c04941d046ebb36e19c370435b1f",30,6,7.307,16.692999999999998
"a08ec31dbf212a033953dc6916a743dccbb93e37",20,4,0.194,15.806000000000001
"0136218fa363560cba9b2378d979f64a35e9b425",18,2,0.147,15.853
"795fe5d869594bde53f8490d75eedef6185b6c37",24,7,1.3379999999999999,15.662
"5556118ad13fbb80a56d7b8de6f960e9ff8255b8",13,3,0.157,9.843
"31fcd3bd8b3f0a9cd203d1e0767985e366ccfe28",19,3,0.131,15.869
"f13d18cff3f0932e727dda04bf80008fc2fbbc70",22,5,0.8490000000000001,16.151
"35c27d025beba1c1a26c6a4a101ef4e4602274cd",29,6,7.606,15.394
"f643b4fa939e89348618ddffae20a804f4461363",24,7,0.162,16.838
"7f7fa03eac02850550cb28f370a4d2adbb2295fb",30,6,7.328000000000002,16.671999999999997
"cdfb2aa1e1ae3029e5d73cb3b5ca90c7df222c8a",20,3,0.159,16.841
"bd5cc81ed7f91865aee7a5a7febeb237220d0c5a",19,7,1.0450000000000002,10.955
"a9f350eb94eb9f165bb5dd13912fbde3eced2dbc",18,6,1.0669999999999997,10.933
"8c7687b9ffa8e95492a5b1c62618f8cfad34299d",19,3,0.051,15.949
"657704627b297a19a693645cf03c5c70ccd9a8bd",22,6,0.21099999999999997,15.789
"855a5238558d87dd70c6195e12f167b5848808bb",29,6,7.368999999999999,15.631
"600eb9eb99dc5c03b047e3c81b49ee4769787c6a",30,6,7.545999999999999,16.454
"363cbf7908cfcc6a538126bcccf5c955afda6aa1",18,2,0.059,15.940999999999999
"c636539836ecb541d9ef71f2d347772cf9f6bc52",19,3,0.623,15.376999999999999
"7cf5e01c2a152a0b612cb19e02213879a57c14d2",19,3,0.272,15.728
"e8d861359ade336badcac3211e5aa447097479a6",23,7,0.068,15.932
"d0e2bfc46659025e6262b2e5de984a8359c9dada",29,9,3.4099999999999993,16.59
"7e605378202fe4e6c9f4aa6a10201b4205238710",23,6,1.087,15.913
"928e74f73f62f241c986f6ff609575e1d833413d",24,6,1.1119999999999999,16.887999999999998
"044367419dd317eb9f9935d8360280b8b8695462",26,7,3.009000000000001,15.991
"bd7788b384a87024ddd6bbe6a9bd9a167cf2ec12",25,6,3.1599999999999997,15.84
"86a082e8be8c51f07079ded82d6d125c9efc1791",19,2,0.049,16.951
"00bf35cdd92813881274a355a33e7e659f5eddaa",20,3,0.35600000000000004,16.644
"ab25f67348d4885620df86497889c1826f013a73",18,2,0.065,15.935
"ebcef2d16a81bfe1a818a362fd03cb5063640003",28,8,2.7279999999999998,17.272
"04a2a4b456c8448b9e63edbf5479d1fe745917ab",21,3,1.5030000000000001,16.497
"07811434b773b6e1737fe7dd3775aeab8afb18b8",18,2,0.105,15.895
"b715d18f09591c510dded3a447a3ad1aacfa2173",20,3,0.34600000000000003,16.654
"aaeb4c621a88facc673949003713d259ac67f0dd",19,3,0.168,15.832
"5bdf0a938adb384bfdb6cc494a2781e2ac33b0ea",18,2,0.16399999999999998,15.836
"ce1bd5785d05d3df324e1169aab4abd45f4281f7",29,12,0.7410000000000001,16.259
"30c85ad05363767deeefee577063c2c432b971d4",20,3,0.211,16.789
"1661e5519c4836a5a940b13b7797263443156fc9",19,3,0.219,15.781
"954ade4c1ae2adc0aaac3a1dbe800495c519520c",20,4,0.14800000000000002,15.852
"a64153a3710c5035988690f0acf57dd61b711cf4",30,6,7.393999999999999,16.606
"a6443e146f825291308319c6a0f2eb82aa34f8c3",18,2,0.087,15.913
"4bd982d1a1df87724682c17c39bf27b5cbe389be",22,3,2.2140000000000004,16.786
"8767cd4f1a6af07093c1e6c422dae8e574be7e5e",25,4,5.895,15.105
"914844e1b226a1ac7ba45626ecfdfb56e7b2e263",19,3,0.078,15.922
"36b00f803a0b307c30f79378cd758323c242cc65",18,2,0.053,15.947
"44516f77ecd06aa818263ec31e150bab3edd956b",31,8,7.101000000000001,15.899
"98fa164cd88d126d0f137f5bcb4a1d180e0c2fc4",19,2,0.34,16.66
"c79e6fb8f95bb07d2394221b29b75fcc016f4900",19,2,0.047,16.953
"4670a941be92a55fbaaa3b4055d444e07ffcadb0",20,3,0.17400000000000002,16.826
"6597c196521af500feef7a02610727eafa7ec1dc",20,3,0.134,16.866
"cde4c529034e182a982fd842252ec410d213c34c",23,6,0.35300000000000004,16.647
"b5f5449cf338376d12404d0190054525987f4276",23,7,0.339,15.661
"721a6e59f7e4f5c0f3196d3eb0e81cab5e41d065",18,2,0.044,15.956
"c7c424fb9c3a39b6ea036242e44cdca324f7d104",22,5,0.052000000000000005,16.948
"a0f9db28319f45feb56982d21239fed451b6c3ef",24,6,1.128,16.872
"0f5c769e0c27a5f31a3451aa7372048bed08e9f7",30,6,6.9879999999999995,17.012
"7337507a796ed6717feb87f4e9829467872c1741",19,2,0.071,16.929
"a8f41ec97d139f5d0d7cf161e8484f2bb809facc",22,6,0.36400000000000005,15.636
"0181c8059c081d144cad36d003379bd50fcd9da7",19,2,0.076,16.924
"66f8569ecc8173d61b7d182f4da0223ae7dbda38",19,2,0.04,16.96
"12e597a78cbf9d82414b944a5b285d81a2e27e51",22,6,0.403,15.597
"b45435c950e6f6864671bdffde29e26cdc8ce15b",22,6,0.451,15.549
"05bf337fc0095d2557368b481f332245f5754b03",30,6,7.1419999999999995,16.858
"5482ce61b003726a9476c76a4337e043af4318c0",19,2,0.07400000000000001,16.926000000000002
